YEAR,Type,Neighbourhood,Total Construction Value,Additions,Interior/ Exterior Alterations,Secondary Suites,New Units,Demolished Units,Net Units,Number of Permits
2001,Multi Family,Eastwood,20000,0,1,0,2,0,2,1
2001,Multi Family,Elmwood,0,0,0,0,0,0,0,0
2001,Multi Family,Elmwood Park,0,0,0,0,0,0,0,0
2001,Multi Family,Empire Park,0,0,0,0,0,0,0,0
2001,Multi Family,Evansdale,0,0,0,0,0,0,0,0
2001,Multi Family,Forest Heights,6500,0,0,0,0,0,0,2
2001,Multi Family,Fulton Place,260000,0,0,0,0,0,0,1
2001,Multi Family,Garneau,3934000,0,4,0,44,0,44,8
2001,Multi Family,Glengarry,0,0,0,0,0,0,0,0
2001,Multi Family,Glenora,0,0,0,0,0,0,0,0
2001,Multi Family,Glenwood,36000,0,1,0,0,0,0,1
2001,Multi Family,Gold Bar,0,0,0,0,0,0,0,0
2001,Multi Family,Grandview Heights,0,0,0,0,0,0,0,0
2001,Multi Family,Greenfield,0,0,0,0,0,0,0,0
2001,Multi Family,Grovenor,1500,0,0,0,0,0,0,1
2001,Multi Family,Hazeldean,40000,0,1,0,0,0,0,1
2001,Multi Family,High Park,0,0,0,0,0,0,0,0
2001,Multi Family,Highlands,0,0,0,0,0,0,0,0
2001,Multi Family,Holyrood,0,0,0,0,0,0,0,0
2001,Multi Family,Idylwylde,0,0,0,0,0,0,0,0
2001,Multi Family,Inglewood,114000,0,0,0,2,0,2,3
2001,Multi Family,Jasper Park,126800,0,0,0,2,0,2,2
2001,Multi Family,Kenilworth,0,0,0,0,0,0,0,0
2001,Multi Family,Kensington,0,0,0,0,0,0,0,0
2001,Multi Family,Kildare,0,0,0,0,0,0,0,0
2001,Multi Family,Kilkenny,0,0,0,0,0,0,0,0
2001,Multi Family,Killarney,51000,0,1,0,0,0,0,2
2001,Multi Family,King Edward Park,265000,0,0,0,4,0,4,2
2001,Multi Family,Landsdowne,0,0,0,0,0,0,0,0
2001,Multi Family,Lauderdale,518500,0,0,0,6,0,6,4
2001,Multi Family,Laurier Heights,0,0,0,0,0,0,0,0
2001,Multi Family,Lendrum Place,0,0,0,0,0,0,0,0
2001,Multi Family,Lynnwood,0,0,0,0,0,0,0,0
2001,Multi Family,Malmo Plains,30000,0,1,0,0,0,0,1
2001,Multi Family,Mayfield,0,0,0,0,0,0,0,0
2001,Multi Family,McCauley,3161000,0,5,0,36,0,36,10
2001,Multi Family,Mckernan,348000,0,0,0,4,0,4,3
2001,Multi Family,McQueen,0,0,0,0,0,0,0,0
2001,Multi Family,Meadowlark Park,3950000,0,0,0,55,0,55,1
2001,Multi Family,Montrose,5000,0,0,0,0,0,0,1
2001,Multi Family,Newton,0,0,0,0,0,0,0,0
2001,Multi Family,North Glenora,0,0,0,0,0,0,0,0
2001,Multi Family,Northmount,0,0,0,0,0,0,0,0
2001,Multi Family,Oliver,1929200,0,10,0,236,0,236,18
2001,Multi Family,Ottewell,0,0,0,0,0,0,0,0
2001,Multi Family,Parkallen,0,0,0,0,0,0,0,0
2001,Multi Family,Parkdale,0,0,0,0,0,0,0,0
2001,Multi Family,Parkview,0,0,0,0,0,0,0,0
2001,Multi Family,Patricia Heights,0,0,0,0,0,0,0,0
2001,Multi Family,Pleasantview,951000,0,2,0,0,0,0,3
2001,Multi Family,Prince Charles,130000,0,0,0,2,0,2,1
2001,Multi Family,Prince Rupert,0,0,0,0,0,0,0,0
2001,Multi Family,Queen Alexandra,719000,0,2,0,15,0,15,6
2001,Multi Family,Queen Mary Park,200000,0,0,0,0,0,0,1
2001,Multi Family,Quesnell Heights,0,0,0,0,0,0,0,0
2001,Multi Family,Rideau Park,0,0,0,0,0,0,0,0
2001,Multi Family,Rio Terrace,0,0,0,0,0,0,0,0
2001,Multi Family,Ritchie,560000,0,0,0,2,0,2,2
2001,Multi Family,Riverdale,1293000,0,2,0,8,0,8,7
2001,Multi Family,Rossdale,5295000,0,0,0,70,0,70,3
2001,Multi Family,Rosslyn,2000,1,0,0,0,0,0,1
2001,Multi Family,Royal Gardens,900,0,0,0,0,0,0,1
2001,Multi Family,Rundle Heights,169645,0,4,0,0,0,0,4
2001,Multi Family,Sherbrooke,0,0,0,0,0,0,0,0
2001,Multi Family,Sherwood,0,0,0,0,0,0,0,0
2001,Multi Family,Spruce Avenue,440000,0,0,0,7,0,7,2
2001,Multi Family,Strathcona,0,0,0,0,0,0,0,0
2001,Multi Family,Strathern,0,0,0,0,0,0,0,0
2001,Multi Family,Terrace Heights,30000,0,1,0,0,0,0,1
2001,Multi Family,Virginia Park,535000,1,0,0,0,0,0,1
2001,Multi Family,Wellington,0,0,0,0,0,0,0,0
2001,Multi Family,West Jasper Place,155000,0,0,0,2,0,2,1
2001,Multi Family,West Meadowlark Park,0,0,0,0,0,0,0,0
2001,Multi Family,Westbrook Estates,0,0,0,0,0,0,0,0
2001,Multi Family,Westmount,4752000,1,4,0,39,0,39,7
2001,Multi Family,Westwood,19000,0,0,0,0,0,0,2
